phrase_number,category,tags
1522,fish + aquatic life,Octopus
1522,fish + aquatic life,ʻAlaʻala
1522,fish + aquatic life,Heʻe
1531,fish + aquatic life,Uhu
1545,fish + aquatic life,Puhi
1545,fish + aquatic life,Eel
1551,fish + aquatic life,Nehu
1622,fish + aquatic life,Ulua
1635,fish + aquatic life,Loli
1653,fish + aquatic life,Pāoʻo
1663,fish + aquatic life,Wana
1663,fish + aquatic life,Sea urchin
1663,fish + aquatic life,Hāʻukeʻuke
1663,fish + aquatic life,Hāwaʻe
1710,fish + aquatic life,ʻŌpae
1710,fish + aquatic life,Shrimp
1721,fish + aquatic life,Nehu
1723,fish + aquatic life,ʻAnae
1746,fish + aquatic life,Crab
1746,fish + aquatic life,Papaʻi
1771,fish + aquatic life,ʻŌpae
1771,fish + aquatic life,Shrimp
1776,fish + aquatic life,Shark
1776,fish + aquatic life,Mana
1776,fish + aquatic life,Niuhi
1782,fish + aquatic life,Shark
1782,fish + aquatic life,Mana
1782,fish + aquatic life,Niuhi
1825,fish + aquatic life,Kalamoe
1825,fish + aquatic life,ʻAleʻaleʻa
1825,fish + aquatic life,Pipipi
1860,fish + aquatic life,ʻAʻama
1860,fish + aquatic life,Crab
1881,fish + aquatic life,ʻAuaʻu
1881,fish + aquatic life,Swordfish
1886,fish + aquatic life,Octopus
1886,fish + aquatic life,ʻAlaʻala
1886,fish + aquatic life,Heʻe
1911,fish + aquatic life,Octopus
1911,fish + aquatic life,ʻAlaʻala
1911,fish + aquatic life,Heʻe
1927,fish + aquatic life,ʻOpihi
1933,fish + aquatic life,Moano
1955,fish + aquatic life,ʻAhi
1990,fish + aquatic life,Puhi
1990,fish + aquatic life,Eel
1992,fish + aquatic life,Hīʻuliʻuli
1997,fish + aquatic life,ʻOhiki
1997,fish + aquatic life,Crab
2031,fish + aquatic life,Octopus
2031,fish + aquatic life,ʻAlaʻala
2031,fish + aquatic life,Heʻe
2046,fish + aquatic life,Aku
2086,fish + aquatic life,Makaʻa
2105,fish + aquatic life,Uhu
2117,fish + aquatic life,Kala
2120,fish + aquatic life,ʻAu
2120,fish + aquatic life,Swordfish
2150,fish + aquatic life,Paiʻea
2219,fish + aquatic life,Honu
2219,fish + aquatic life,Turtle
2274,fish + aquatic life,Leho
2274,fish + aquatic life,Octopus
2274,fish + aquatic life,ʻAlaʻala
2274,fish + aquatic life,Heʻe
2274,fish + aquatic life,Cowry
2293,fish + aquatic life,Hinalea
2377,fish + aquatic life,ʻOlua
2377,fish + aquatic life,Uhu
2394,fish + aquatic life,ʻAʻama
2409,fish + aquatic life,Hīwaʻe
2430,fish + aquatic life,Cuttlefish
2443,fish + aquatic life,Miloʻilo
2455,fish + aquatic life,Hīʻuliʻuli
2488,fish + aquatic life,Uhu
2501,fish + aquatic life,ʻAu
2501,fish + aquatic life,Swordfish
2505,fish + aquatic life,Whale
2508,fish + aquatic life,ʻOmaka
2516,fish + aquatic life,Papaʻi
2529,fish + aquatic life,ʻOʻopu
2532,fish + aquatic life,ʻOpelu
2534,fish + aquatic life,ʻOpihi
2536,fish + aquatic life,ʻŌpule
2544,fish + aquatic life,Loli
2573,fish + aquatic life,Paiʻea
2578,fish + aquatic life,Nehu
2579,fish + aquatic life,ʻŌpae
2579,fish + aquatic life,Shrimp
2582,fish + aquatic life,Pakiʻi
2587,fish + aquatic life,Hīʻukeʻuke
2617,fish + aquatic life,Shark
2617,fish + aquatic life,Mana
2617,fish + aquatic life,Niuhi
2629,fish + aquatic life,ʻOmaka
2635,fish + aquatic life,Naiʻa
2635,fish + aquatic life,Dolphin
2639,fish + aquatic life,ʻAʻama
2661,fish + aquatic life,Barnacle
2667,fish + aquatic life,Aku
2669,fish + aquatic life,Aku
2688,fish + aquatic life,ʻAhi
2695,fish + aquatic life,Aku
2696,fish + aquatic life,Wana
2696,fish + aquatic life,Sea urchin
2696,fish + aquatic life,Hāʻukeʻuke
2696,fish + aquatic life,Hāwaʻe
2701,fish + aquatic life,Shark
2701,fish + aquatic life,Mana
2701,fish + aquatic life,Niuhi
2716,fish + aquatic life,Honu
2716,fish + aquatic life,Turtle
2717,fish + aquatic life,Honu
2717,fish + aquatic life,Turtle
2719,fish + aquatic life,Puhi
2719,fish + aquatic life,Eel
2720,fish + aquatic life,Puhi
2720,fish + aquatic life,Eel
2721,fish + aquatic life,Puhi
2721,fish + aquatic life,Eel
2730,fish + aquatic life,ʻOʻopu
2759,fish + aquatic life,Alalauwa
2791,fish + aquatic life,Uouoa
2818,fish + aquatic life,Lauwiliwili
2820,fish + aquatic life,ʻŪʻū
2855,fish + aquatic life,Hīʻukeʻuke
2856,fish + aquatic life,Ahole
2865,fish + aquatic life,Shark
2865,fish + aquatic life,Mana
2865,fish + aquatic life,Niuhi
2910,fish + aquatic life,Kawakawa
2910,fish + aquatic life,ʻOpelu
2925,fish + aquatic life,Akule
2930,fish + aquatic life,Shark
2930,fish + aquatic life,Mana
2930,fish + aquatic life,Niuhi
