phrase_number,category,tags
999,places,"Hilo, Hawai'i"
1000,places,"Hilo, Hawai'i"
1001,places,"Hilo, Hawai'i"
1002,places,"Hilo, Hawai'i"
1003,places,"Hilo, Hawai'i"
1004,places,"Hāmākua, Hawai'i"
1004,places,"Hilo, Hawai'i"
1004,places,"Maulua, Hawai'i"
1004,places,"Mawae, Hawai'i"
1005,places,"Hilo, Hawai'i"
1006,places,"Hilo, Hawai'i"
1009,places,"Kapaliwai'ole, Hawai'i"
1014,places,"Pu'uloa, O'ahu"
1016,places,"Honolulu, O'ahu"
1016,places,"Nu'uanu, O'ahu"
1018,places,"Kaunalewa, Kaua'i"
1018,places,"Māna, Kaua'i"
1023,places,"Pu'uloa, O'ahu"
1028,places,"Waimea, Kaua'i"
1029,places,"Ao, Maui"
1029,places,"'Ī-ao, Maui"
1030,places,"Hilea, Hawai'i"
1030,places,"Punalu'u, Hawai'i"
1032,places,"Kalia, O'ahu"
1033,places,"Waolani, O'ahu"
1037,places,"Kumukahi, Hawai'i"
1039,places,Kaneoneo
1044,places,Hamohamo
1056,places,"Honokōhau, Maui"
1057,places,"Honolua, Maui"
1058,places,"Honua'ula, Maui"
1059,places,"Honua'ula, Maui"
1061,places,"Nānāwale, Hawai'i"
1063,places,"Hawai'i, Kingdom of"
1072,places,"Kona, Hawai'i"
1075,places,"Waialoha, Kaua'i"
1085,places,"'Ulupa'u, Maui"
1091,places,"Kualoa, O'ahu"
1097,places,"Makaweli, Kaua'i"
1098,places,Wailohia
1100,places,Mokupaoa
1104,places,"Waineki, Kaua'i"
1105,places,"Hilo, Hawai'i"
1107,places,"Waipā, Kaua'i"
1112,places,Waipuhi
1113,places,"Kea'au, Hawai'i"
1114,places,"Kekele, O'ahu"
1117,places,Lele
1125,places,Kapua
1126,places,Awalau
1126,places,"Pearl Harbor, O'ahu"
1128,places,Kou
1130,places,Waiehu
1130,places,Wailua
1136,places,"Launiupoko, Maui"
1143,places,"Makahu'ena, Kaua'i"
1144,places,"Maunaloa, Moloka'i"
1151,places,"Hana, Maui"
